location,crime_rate,flood_risk,weather_severity_index
"Berlin, Germany",0.748,0.221,0.183
"Dubai, UAE",0.801,0.8,0.546
"New York, USA",0.882,0.321,0.395
Singapore,0.773,0.186,0.847
"Toronto, Canada",0.802,0.627,0.725
"Dubai, UAE",0.877,0.305,0.331
"Dubai, UAE",0.762,0.113,0.531
"Lagos, Nigeria",0.264,0.631,0.745
"Toronto, Canada",0.734,0.158,0.256
Singapore,0.668,0.102,0.972
"New York, USA",0.545,0.646,0.183
"Johannesburg, South Africa",0.24,0.463,0.958
"Johannesburg, South Africa",0.138,0.744,0.115
"New York, USA",0.274,0.231,0.535
"Johannesburg, South Africa",0.802,0.509,0.359
"London, UK",0.316,0.193,0.971
"London, UK",0.458,0.428,0.87
"Lagos, Nigeria",0.898,0.385,0.912
"Berlin, Germany",0.508,0.611,0.543
"London, UK",0.714,0.599,0.195
"Johannesburg, South Africa",0.736,0.307,0.322
"Johannesburg, South Africa",0.803,0.141,0.578
"Lagos, Nigeria",0.366,0.184,0.45
"Toronto, Canada",0.222,0.83,0.395
"New York, USA",0.811,0.681,0.373
"London, UK",0.588,0.854,0.311
"Lagos, Nigeria",0.577,0.594,0.584
Singapore,0.556,0.803,0.719
"Dubai, UAE",0.128,0.718,0.722
"Dubai, UAE",0.299,0.296,0.14
"New York, USA",0.638,0.7,0.124
"Toronto, Canada",0.126,0.588,0.179
"Johannesburg, South Africa",0.585,0.236,0.116
"London, UK",0.14,0.175,0.496
"Johannesburg, South Africa",0.107,0.393,0.148
"London, UK",0.813,0.569,0.492
"Toronto, Canada",0.829,0.545,0.403
"Dubai, UAE",0.332,0.485,0.153
"Johannesburg, South Africa",0.792,0.483,0.176
"Berlin, Germany",0.16,0.113,0.795
"Lagos, Nigeria",0.429,0.117,0.752
"Toronto, Canada",0.481,0.426,0.358
"Dubai, UAE",0.427,0.512,0.217
"New York, USA",0.379,0.64,0.421
"New York, USA",0.589,0.632,0.536
Singapore,0.641,0.888,0.566
"Berlin, Germany",0.867,0.413,0.122
Singapore,0.201,0.201,0.641
"Toronto, Canada",0.82,0.341,0.667
"Johannesburg, South Africa",0.738,0.713,0.679
"Johannesburg, South Africa",0.326,0.295,0.664
"Dubai, UAE",0.26,0.754,0.961
"Johannesburg, South Africa",0.193,0.745,0.739
"Lagos, Nigeria",0.439,0.475,0.385
"Toronto, Canada",0.54,0.684,0.831
"Berlin, Germany",0.556,0.741,0.489
Singapore,0.433,0.681,0.154
"Johannesburg, South Africa",0.648,0.35,0.684
"London, UK",0.666,0.236,0.444
Singapore,0.512,0.195,0.937
Singapore,0.541,0.871,0.408
Singapore,0.256,0.176,0.141
"Dubai, UAE",0.543,0.453,0.952
"Toronto, Canada",0.16,0.181,0.849
"Berlin, Germany",0.557,0.736,0.981
"Berlin, Germany",0.614,0.543,0.263
"London, UK",0.885,0.241,0.119
"Berlin, Germany",0.44,0.868,0.956
Singapore,0.497,0.779,0.768
"Lagos, Nigeria",0.462,0.202,0.871
"Berlin, Germany",0.308,0.751,0.104
Singapore,0.175,0.776,0.691
"London, UK",0.612,0.717,0.74
Singapore,0.158,0.381,0.409
"Dubai, UAE",0.444,0.305,0.526
"Johannesburg, South Africa",0.109,0.52,0.22
Singapore,0.852,0.479,0.172
"Toronto, Canada",0.658,0.567,0.829
"Berlin, Germany",0.279,0.434,0.84
"Berlin, Germany",0.321,0.269,0.307
"Lagos, Nigeria",0.358,0.556,0.835
"London, UK",0.515,0.53,0.428
"London, UK",0.605,0.827,0.36
"Dubai, UAE",0.161,0.608,0.813
"London, UK",0.628,0.716,0.736
"London, UK",0.16,0.442,0.672
"Dubai, UAE",0.831,0.758,0.816
"London, UK",0.498,0.348,0.877
"New York, USA",0.847,0.882,0.954
"Johannesburg, South Africa",0.614,0.753,0.661
"Toronto, Canada",0.421,0.103,0.182
"Berlin, Germany",0.726,0.754,0.418
"Berlin, Germany",0.154,0.53,0.218
"Berlin, Germany",0.57,0.564,0.209
"Lagos, Nigeria",0.306,0.899,0.99
"London, UK",0.774,0.674,0.266
"Toronto, Canada",0.813,0.204,0.764
"Berlin, Germany",0.568,0.703,0.804
"Dubai, UAE",0.309,0.26,0.542
"London, UK",0.411,0.848,0.104
"London, UK",0.596,0.311,0.755
"London, UK",0.44,0.469,0.957
"Lagos, Nigeria",0.722,0.75,0.793
"Toronto, Canada",0.395,0.871,0.576
"Dubai, UAE",0.504,0.226,0.629
"Berlin, Germany",0.251,0.155,0.243
"New York, USA",0.658,0.732,0.895
Singapore,0.792,0.79,0.637
"Lagos, Nigeria",0.393,0.582,0.323
"Johannesburg, South Africa",0.864,0.237,0.19
"Dubai, UAE",0.131,0.226,0.341
Singapore,0.276,0.468,0.79
"Lagos, Nigeria",0.43,0.255,0.96
"New York, USA",0.44,0.377,0.31
"Lagos, Nigeria",0.735,0.735,0.379
"Berlin, Germany",0.81,0.185,0.825
"Toronto, Canada",0.342,0.343,0.756
"Toronto, Canada",0.611,0.417,0.211
"Berlin, Germany",0.541,0.282,0.919
"Berlin, Germany",0.242,0.667,0.311
"Toronto, Canada",0.361,0.475,0.791
"Dubai, UAE",0.116,0.857,0.686
"Berlin, Germany",0.343,0.372,0.521
Singapore,0.184,0.84,0.179
"Johannesburg, South Africa",0.819,0.555,0.903
"Lagos, Nigeria",0.819,0.531,0.577
"Toronto, Canada",0.644,0.288,0.202
"New York, USA",0.894,0.858,0.529
"New York, USA",0.564,0.355,0.193
"Berlin, Germany",0.26,0.537,0.436
"New York, USA",0.808,0.852,0.206
"New York, USA",0.267,0.781,0.336
"Toronto, Canada",0.314,0.347,0.83
"Lagos, Nigeria",0.627,0.744,0.309
"London, UK",0.204,0.645,0.674
"Johannesburg, South Africa",0.588,0.127,0.307
"New York, USA",0.342,0.494,0.655
"Berlin, Germany",0.601,0.438,0.77
"London, UK",0.739,0.627,0.193
"New York, USA",0.415,0.662,0.863
Singapore,0.365,0.664,0.922
"Lagos, Nigeria",0.365,0.468,0.435
"Dubai, UAE",0.386,0.858,0.89
"New York, USA",0.727,0.157,0.204
"Berlin, Germany",0.444,0.619,0.483
Singapore,0.671,0.451,0.245
"Lagos, Nigeria",0.692,0.286,0.965
"Berlin, Germany",0.526,0.209,0.797
"Berlin, Germany",0.464,0.47,0.658
"Berlin, Germany",0.403,0.344,0.164
"Berlin, Germany",0.624,0.275,0.249
"Berlin, Germany",0.512,0.129,0.415
"Lagos, Nigeria",0.333,0.35,0.305
"Toronto, Canada",0.526,0.846,0.38
Singapore,0.626,0.531,0.972
"Lagos, Nigeria",0.536,0.293,0.821
"Toronto, Canada",0.112,0.881,0.163
Singapore,0.895,0.621,0.15
"Dubai, UAE",0.706,0.506,0.141
"Lagos, Nigeria",0.295,0.847,0.748
"Johannesburg, South Africa",0.709,0.725,0.562
"Berlin, Germany",0.714,0.526,0.233
"Lagos, Nigeria",0.581,0.106,0.946
"Lagos, Nigeria",0.6,0.431,0.281
"Toronto, Canada",0.229,0.74,0.75
"Lagos, Nigeria",0.398,0.328,0.999
"Dubai, UAE",0.57,0.144,0.991
Singapore,0.162,0.587,0.657
"Lagos, Nigeria",0.882,0.82,0.238
"New York, USA",0.181,0.891,0.994
"Berlin, Germany",0.423,0.192,0.754
"Johannesburg, South Africa",0.831,0.87,0.844
"Berlin, Germany",0.112,0.407,0.983
"New York, USA",0.647,0.696,0.283
"Dubai, UAE",0.411,0.263,0.39
"Lagos, Nigeria",0.674,0.638,0.321
"London, UK",0.631,0.637,0.992
"Lagos, Nigeria",0.578,0.326,0.689
"Berlin, Germany",0.792,0.456,0.38
Singapore,0.104,0.432,0.433
Singapore,0.217,0.624,0.509
"Lagos, Nigeria",0.729,0.882,0.495
"London, UK",0.608,0.556,0.256
"New York, USA",0.841,0.535,0.871
"Johannesburg, South Africa",0.451,0.37,0.795
"Berlin, Germany",0.54,0.642,0.922
"London, UK",0.599,0.777,0.573
"London, UK",0.241,0.179,0.705
"London, UK",0.215,0.293,0.779
"Toronto, Canada",0.303,0.574,0.635
"Johannesburg, South Africa",0.409,0.167,0.734
"Johannesburg, South Africa",0.49,0.378,0.581
"New York, USA",0.472,0.484,0.459
"Berlin, Germany",0.734,0.745,0.985
"New York, USA",0.207,0.521,0.53
"Dubai, UAE",0.395,0.404,0.854
"Toronto, Canada",0.857,0.218,0.638
"Johannesburg, South Africa",0.718,0.262,0.345
"Dubai, UAE",0.442,0.515,0.202
"Berlin, Germany",0.565,0.744,0.924
"Lagos, Nigeria",0.476,0.419,0.404
Singapore,0.407,0.282,0.366
"New York, USA",0.206,0.403,0.772
"Toronto, Canada",0.234,0.144,0.681
"Lagos, Nigeria",0.331,0.525,0.695
"Dubai, UAE",0.392,0.159,0.219
"Toronto, Canada",0.301,0.78,0.323
"Berlin, Germany",0.562,0.711,0.546
"Dubai, UAE",0.579,0.663,0.882
Singapore,0.137,0.856,0.483
"New York, USA",0.62,0.811,0.228
"Toronto, Canada",0.474,0.102,0.46
Singapore,0.538,0.723,0.362
"Dubai, UAE",0.815,0.568,0.995
"Berlin, Germany",0.247,0.448,0.438
"Toronto, Canada",0.424,0.33,0.654
"London, UK",0.488,0.257,0.617
"Dubai, UAE",0.573,0.806,0.253
"Dubai, UAE",0.642,0.39,0.217
"Dubai, UAE",0.203,0.459,0.116
"New York, USA",0.699,0.67,0.224
Singapore,0.277,0.729,0.754
"Johannesburg, South Africa",0.861,0.6,0.669
"Johannesburg, South Africa",0.185,0.436,0.356
Singapore,0.889,0.151,0.294
"Dubai, UAE",0.842,0.589,0.128
"Dubai, UAE",0.811,0.777,0.355
"London, UK",0.124,0.136,0.403
"Toronto, Canada",0.261,0.383,0.879
"Lagos, Nigeria",0.554,0.298,0.112
"Berlin, Germany",0.677,0.532,0.338
"Lagos, Nigeria",0.688,0.109,0.958
"Lagos, Nigeria",0.137,0.806,0.867
"London, UK",0.651,0.733,0.894
"Dubai, UAE",0.497,0.183,0.103
"Johannesburg, South Africa",0.351,0.814,0.426
"Berlin, Germany",0.652,0.714,0.533
"Dubai, UAE",0.301,0.865,0.197
"Toronto, Canada",0.616,0.307,0.172
"Johannesburg, South Africa",0.59,0.784,0.422
"Toronto, Canada",0.573,0.216,0.929
"Toronto, Canada",0.526,0.657,0.46
"Toronto, Canada",0.318,0.157,0.781
"Dubai, UAE",0.261,0.671,0.638
"London, UK",0.407,0.221,0.899
Singapore,0.877,0.688,0.4
"Berlin, Germany",0.73,0.452,0.22
"Toronto, Canada",0.407,0.208,0.223
"New York, USA",0.647,0.557,0.269
"Johannesburg, South Africa",0.325,0.12,0.828
Singapore,0.272,0.29,0.614
"Johannesburg, South Africa",0.567,0.334,0.591
"Toronto, Canada",0.305,0.894,0.211
Singapore,0.537,0.736,0.26
"London, UK",0.164,0.35,0.285
"New York, USA",0.768,0.392,0.777
"Lagos, Nigeria",0.406,0.451,0.726
Singapore,0.112,0.731,0.625
"London, UK",0.867,0.645,0.192
"Johannesburg, South Africa",0.536,0.533,0.239
"Dubai, UAE",0.833,0.458,0.332
"Toronto, Canada",0.25,0.303,0.848
"Berlin, Germany",0.34,0.463,0.75
"Berlin, Germany",0.407,0.721,0.923
"New York, USA",0.256,0.458,0.131
"London, UK",0.463,0.519,0.839
"New York, USA",0.325,0.371,0.122
"Dubai, UAE",0.2,0.488,0.699
"New York, USA",0.165,0.708,0.685
"Dubai, UAE",0.306,0.838,0.341
"Berlin, Germany",0.885,0.497,0.774
Singapore,0.305,0.218,0.48
"London, UK",0.784,0.719,0.67
Singapore,0.467,0.707,0.667
"Berlin, Germany",0.302,0.641,0.893
"London, UK",0.758,0.567,0.707
"Berlin, Germany",0.704,0.356,0.704
"London, UK",0.594,0.698,0.637
"Johannesburg, South Africa",0.329,0.887,0.19
"Lagos, Nigeria",0.71,0.475,0.371
"Johannesburg, South Africa",0.116,0.23,0.513
"Berlin, Germany",0.324,0.28,0.325
"Dubai, UAE",0.789,0.306,0.249
"Lagos, Nigeria",0.287,0.609,0.561
Singapore,0.604,0.714,0.852
Singapore,0.483,0.379,0.671
"New York, USA",0.443,0.685,0.725
"Berlin, Germany",0.649,0.17,0.227
Singapore,0.131,0.818,0.818
"Dubai, UAE",0.498,0.154,0.2
"New York, USA",0.452,0.742,0.354
"Berlin, Germany",0.701,0.668,0.889
"New York, USA",0.441,0.616,0.93
"Toronto, Canada",0.824,0.149,0.179
Singapore,0.894,0.515,0.246
"London, UK",0.801,0.198,0.423
"New York, USA",0.737,0.452,0.745
"London, UK",0.674,0.236,0.234
"New York, USA",0.549,0.224,0.239
"Berlin, Germany",0.729,0.558,0.591
"London, UK",0.582,0.327,0.631
"Dubai, UAE",0.87,0.717,0.179
"London, UK",0.812,0.302,0.465
"Lagos, Nigeria",0.561,0.369,0.759
"Dubai, UAE",0.44,0.573,0.407
"Dubai, UAE",0.258,0.107,0.318
"Dubai, UAE",0.296,0.773,0.203
"London, UK",0.275,0.173,0.518
"London, UK",0.813,0.122,0.946
"London, UK",0.833,0.719,0.653
"Dubai, UAE",0.356,0.74,0.16
"New York, USA",0.662,0.61,0.333
"Dubai, UAE",0.2,0.765,0.767
"Dubai, UAE",0.549,0.834,0.781
"Toronto, Canada",0.34,0.28,0.438
"London, UK",0.86,0.459,0.16
"Toronto, Canada",0.209,0.424,0.583
"Dubai, UAE",0.208,0.235,0.759
"London, UK",0.717,0.312,0.399
"Berlin, Germany",0.35,0.427,0.81
"Toronto, Canada",0.304,0.181,0.396
"Lagos, Nigeria",0.268,0.705,0.252
"London, UK",0.302,0.587,0.819
"Berlin, Germany",0.891,0.838,0.22
Singapore,0.463,0.125,0.32
"Toronto, Canada",0.3,0.62,0.868
"Dubai, UAE",0.151,0.728,0.571
"Berlin, Germany",0.197,0.508,0.239
Singapore,0.625,0.873,0.654
"Lagos, Nigeria",0.308,0.131,0.627
"Lagos, Nigeria",0.545,0.519,0.596
"Lagos, Nigeria",0.542,0.35,0.406
"Lagos, Nigeria",0.39,0.879,0.466
"Berlin, Germany",0.671,0.866,0.785
"Dubai, UAE",0.127,0.178,0.934
"Toronto, Canada",0.434,0.415,0.62
"Lagos, Nigeria",0.447,0.277,0.939
"Berlin, Germany",0.2,0.764,0.258
"Dubai, UAE",0.112,0.829,0.361
"Berlin, Germany",0.527,0.808,0.852
"Toronto, Canada",0.336,0.386,0.967
"Berlin, Germany",0.846,0.342,0.901
Singapore,0.665,0.641,0.542
"Dubai, UAE",0.17,0.845,0.83
"New York, USA",0.624,0.149,0.281
"Dubai, UAE",0.8,0.146,0.386
Singapore,0.866,0.423,0.999
"Johannesburg, South Africa",0.35,0.435,0.261
"Toronto, Canada",0.45,0.494,0.318
"Dubai, UAE",0.616,0.499,0.751
Singapore,0.828,0.471,0.702
"Johannesburg, South Africa",0.641,0.726,0.746
"Berlin, Germany",0.407,0.712,0.955
